1	14	0	-842150451	-842150451	-842150451	-842150451
2	14	1	-842150451	-842150451	-842150451	-842150451
3	1	1	0	-842150451	-842150451	-842150451
4	1	0	1	-842150451	-842150451	-842150451
5	3	2	0	1	-842150451	-842150451
6	14	0	-842150451	-842150451	-842150451	-842150451
7	4	3	0	1	-842150451	-842150451
8	13	3	-842150451	-842150451	-842150451	-842150451
9	13	2	-842150451	-842150451	-842150451	-842150451
10	7	2	3	8	14	-842150451
11	1	2	3	-842150451	-842150451	-842150451
12	13	2	-842150451	-842150451	-842150451	-842150451
13	16	17	-842150451	-842150451	-842150451	-842150451
14	1	3	3	-842150451	-842150451	-842150451
15	13	3	-842150451	-842150451	-842150451	-842150451
16	6	6	-842150451	-842150451	-842150451	-842150451
17	15	-842150451	-842150451	-842150451	-842150451	-842150451
18	13	-1	0	-842150451	-842150451	-842150451
